"DIRECTORIO","O_01","O_02","O_03","O_04_A","O_04_B","O_04_C","O_04_D","O_04_FUMADA","O_05","O_06","O_07","O_08","O_09","O_09_VALOR","O_09_TEXTO","O_10_A","O_10_B","O_10_C","O_10_D","O_10_E","O_10_F","O_10_G","O_10_H","O_10_I","SECUENCIA_ENCUESTA.x.x","SECUENCIA_P.x.x","ORDEN.x.x","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.y.x","SECUENCIA_P.y.x","ORDEN.y.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x.y","SECUENCIA_P.x.y","ORDEN.x.y","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y.y","SECUENCIA_P.y.y","ORDEN.y.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","PER_SELECCIONADA"
58919,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,17001,2,1,3,4,1,1,1,NA,0,17,2,7,NA,NA,NA,2,NA,2,1,1,4,4,2,2,4,2,2,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,1,5,511,1,1,4,1,4,2,93,1,3,3,NA,NA,1,1,1,NA
58919,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,17001,2,1,3,4,1,1,1,NA,0,17,2,7,NA,NA,NA,2,NA,2,1,1,4,4,2,2,4,2,2,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,1,5,511,1,1,4,1,4,1,68,3,3,1,NA,NA,2,1,2,NA
58919,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,17001,2,1,3,4,1,1,1,NA,0,17,2,7,NA,NA,NA,2,NA,2,1,1,4,4,2,2,4,2,2,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,1,5,511,1,1,4,1,4,1,41,5,2,2,NA,NA,3,1,3,NA
58919,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,17001,2,1,3,4,1,1,1,NA,0,17,2,7,NA,NA,NA,2,NA,2,1,1,4,4,2,2,4,2,2,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,1,5,511,1,1,4,1,4,1,39,5,2,3,1,1,4,1,4,1
59142,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,17001,2,1,6,3,1,1,1,NA,0,17,1,1,9,4,20,1,1,4,1,2,4,3,4,3,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,2,4,408,1,1,1,1,1,1,59,1,3,2,1,1,1,1,1,1
59142,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,17001,2,1,6,3,1,1,1,NA,0,17,1,1,9,4,20,1,1,4,1,2,4,3,4,3,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,2,4,408,1,1,1,1,1,2,57,2,3,3,NA,NA,2,1,2,NA
59142,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,17001,2,1,6,3,1,1,1,NA,0,17,1,1,9,4,20,1,1,4,1,2,4,3,4,3,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,2,4,408,1,1,1,1,1,2,16,3,1,1,NA,NA,3,1,3,NA
59649,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,17001,2,1,2,6,1,1,1,NA,0,17,1,1,6,1,48,2,NA,4,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,1,1,1,1,2,NA,6,1,6,9,6,0,5,511,1,1,6,1,6,2,26,2,2,2,NA,NA,2,1,2,NA
59649,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,17001,2,1,2,6,1,1,1,NA,0,17,1,1,6,1,48,2,NA,4,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,1,1,1,1,2,NA,6,1,6,9,6,0,5,511,1,1,6,1,6,1,9,3,1,1,NA,NA,3,1,3,NA
59649,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,17001,2,1,2,6,1,1,1,NA,0,17,1,1,6,1,48,2,NA,4,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,1,1,1,1,2,NA,6,1,6,9,6,0,5,511,1,1,6,1,6,2,8,3,1,1,NA,NA,4,1,4,NA
